:START_ID,:END_ID,:TYPE,display_relation
14151,23158,drug_effect,side effect
14151,23002,drug_effect,side effect
14151,23157,drug_effect,side effect
14151,14235,drug_drug,synergistic interaction
14151,15507,drug_drug,synergistic interaction
14151,14058,drug_drug,synergistic interaction
14151,14481,drug_drug,synergistic interaction
14151,14211,drug_drug,synergistic interaction
14151,14483,drug_drug,synergistic interaction
14151,14242,drug_drug,synergistic interaction
14151,15167,drug_drug,synergistic interaction
14151,15774,drug_drug,synergistic interaction
14151,14158,drug_drug,synergistic interaction
14151,14238,drug_drug,synergistic interaction
14151,14061,drug_drug,synergistic interaction
14151,33575,contraindication,contraindication
14151,29113,contraindication,contraindication
14151,2387,drug_protein,carrier
22585,84460,phenotype_phenotype,parent-child
14270,14235,drug_drug,synergistic interaction
14270,14058,drug_drug,synergistic interaction
14270,15130,drug_drug,synergistic interaction
14270,33575,contraindication,contraindication
14270,29113,contraindication,contraindication
14270,35764,contraindication,contraindication
14270,3955,drug_protein,enzyme
14270,2387,drug_protein,carrier
33954,28208,disease_protein,associated with
33954,33575,disease_protein,associated with
22000,28208,disease_protein,associated with
22000,33575,disease_protein,associated with
37704,27834,disease_disease,parent-child
37704,28552,disease_disease,parent-child
14198,15484,drug_drug,synergistic interaction
14198,14176,drug_drug,synergistic interaction
14198,14884,drug_drug,synergistic interaction
14198,15119,drug_drug,synergistic interaction
14198,15074,drug_drug,synergistic interaction
14198,14208,drug_drug,synergistic interaction
14198,14476,drug_drug,synergistic interaction
14198,14477,drug_drug,synergistic interaction
14198,19222,drug_drug,synergistic interaction
14198,14424,drug_drug,synergistic interaction
14198,20304,drug_drug,synergistic interaction
14198,15026,drug_drug,synergistic interaction
14198,14203,drug_drug,synergistic interaction
14198,14221,drug_drug,synergistic interaction
14198,14943,drug_drug,synergistic interaction
14198,14685,drug_drug,synergistic interaction
14198,14670,drug_drug,synergistic interaction
14198,14268,drug_drug,synergistic interaction
14198,15829,drug_drug,synergistic interaction
14198,14783,drug_drug,synergistic interaction
14198,14032,drug_drug,synergistic interaction
14198,14033,drug_drug,synergistic interaction
14198,14034,drug_drug,synergistic interaction
14198,15295,drug_drug,synergistic interaction
14198,15079,drug_drug,synergistic interaction
14198,14161,drug_drug,synergistic interaction
14198,15064,drug_drug,synergistic interaction
14198,14019,drug_drug,synergistic interaction
14198,15003,drug_drug,synergistic interaction
14198,14030,drug_drug,synergistic interaction
14198,14269,drug_drug,synergistic interaction
14198,14251,drug_drug,synergistic interaction
14198,14207,drug_drug,synergistic interaction
14198,14956,drug_drug,synergistic interaction
14198,14792,drug_drug,synergistic interaction
14198,14975,drug_drug,synergistic interaction
14198,15077,drug_drug,synergistic interaction
14198,15298,drug_drug,synergistic interaction
14198,15428,drug_drug,synergistic interaction
14198,14762,drug_drug,synergistic interaction
14198,16788,drug_drug,synergistic interaction
14198,16793,drug_drug,synergistic interaction
14198,14276,drug_drug,synergistic interaction
14198,14023,drug_drug,synergistic interaction
14198,15012,drug_drug,synergistic interaction
14198,15176,drug_drug,synergistic interaction
14198,15187,drug_drug,synergistic interaction
14198,14235,drug_drug,synergistic interaction
14198,14270,drug_drug,synergistic interaction
14198,14058,drug_drug,synergistic interaction
14198,14481,drug_drug,synergistic interaction
14198,14211,drug_drug,synergistic interaction
14198,14483,drug_drug,synergistic interaction
14198,15130,drug_drug,synergistic interaction
14198,14242,drug_drug,synergistic interaction
14198,15987,drug_drug,synergistic interaction
14198,14340,drug_drug,synergistic interaction
14198,15986,drug_drug,synergistic interaction
14198,15167,drug_drug,synergistic interaction
14198,14131,drug_drug,synergistic interaction
14198,15774,drug_drug,synergistic interaction
14198,14158,drug_drug,synergistic interaction
14198,14238,drug_drug,synergistic interaction
14198,14061,drug_drug,synergistic interaction
14198,28552,contraindication,contraindication
14198,30877,contraindication,contraindication
14198,29113,contraindication,contraindication
14198,28208,contraindication,contraindication
14198,33575,contraindication,contraindication
14198,3955,drug_protein,enzyme
14198,11881,drug_protein,transporter
14198,22952,drug_effect,side effect
14198,23002,drug_effect,side effect
14198,22859,drug_effect,side effect
14198,23844,drug_effect,side effect
14198,25520,drug_effect,side effect
14198,84485,drug_effect,side effect
14198,23158,drug_effect,side effect
14198,22447,drug_effect,side effect
14198,22831,drug_effect,side effect
14198,26162,drug_effect,side effect
14198,84684,drug_effect,side effect
14198,25201,drug_effect,side effect
14198,84853,drug_effect,side effect
14198,23864,drug_effect,side effect
14198,22467,drug_effect,side effect
14198,23101,drug_effect,side effect
14198,93440,drug_effect,side effect
14198,23157,drug_effect,side effect
14198,24475,drug_effect,side effect
14198,14643,drug_drug,synergistic interaction
14198,14784,drug_drug,synergistic interaction
14198,15093,drug_drug,synergistic interaction
14198,15320,drug_drug,synergistic interaction
14198,15151,drug_drug,synergistic interaction
14198,14237,drug_drug,synergistic interaction
14198,14638,drug_drug,synergistic interaction
14198,14380,drug_drug,synergistic interaction
14222,24475,drug_effect,side effect
14222,23158,drug_effect,side effect
14222,22457,drug_effect,side effect
14222,84364,drug_effect,side effect
14222,23101,drug_effect,side effect
14222,23157,drug_effect,side effect
14222,22585,drug_effect,side effect
14222,22953,drug_effect,side effect
14222,25201,drug_effect,side effect
14222,15484,drug_drug,synergistic interaction
14222,14176,drug_drug,synergistic interaction
14222,14884,drug_drug,synergistic interaction
14222,15119,drug_drug,synergistic interaction
14222,15074,drug_drug,synergistic interaction
14222,14208,drug_drug,synergistic interaction
14222,14476,drug_drug,synergistic interaction
14222,14477,drug_drug,synergistic interaction
14222,14342,drug_drug,synergistic interaction
14222,20298,drug_drug,synergistic interaction
14222,19222,drug_drug,synergistic interaction
14222,14424,drug_drug,synergistic interaction
14222,20304,drug_drug,synergistic interaction
14222,14115,drug_drug,synergistic interaction
14222,20349,drug_drug,synergistic interaction
14222,15621,drug_drug,synergistic interaction
14222,15026,drug_drug,synergistic interaction
14222,14203,drug_drug,synergistic interaction
14222,14221,drug_drug,synergistic interaction
14222,14943,drug_drug,synergistic interaction
14222,14685,drug_drug,synergistic interaction
14222,14670,drug_drug,synergistic interaction
14222,15467,drug_drug,synergistic interaction
14222,14268,drug_drug,synergistic interaction
14222,14151,drug_drug,synergistic interaction
14222,15435,drug_drug,synergistic interaction
14222,14149,drug_drug,synergistic interaction
14222,17950,drug_drug,synergistic interaction
14222,14276,drug_drug,synergistic interaction
14222,14032,drug_drug,synergistic interaction
14222,14033,drug_drug,synergistic interaction
14222,14034,drug_drug,synergistic interaction
14222,14017,drug_drug,synergistic interaction
14222,15295,drug_drug,synergistic interaction
14222,15079,drug_drug,synergistic interaction
14222,14161,drug_drug,synergistic interaction
14222,15064,drug_drug,synergistic interaction
14222,14024,drug_drug,synergistic interaction
14222,14019,drug_drug,synergistic interaction
14222,15003,drug_drug,synergistic interaction
14222,14030,drug_drug,synergistic interaction
14222,14269,drug_drug,synergistic interaction
14222,14251,drug_drug,synergistic interaction
14222,14207,drug_drug,synergistic interaction
14222,14956,drug_drug,synergistic interaction
14222,14792,drug_drug,synergistic interaction
14222,14975,drug_drug,synergistic interaction
14222,15077,drug_drug,synergistic interaction
14222,15428,drug_drug,synergistic interaction
14222,14762,drug_drug,synergistic interaction
14222,16788,drug_drug,synergistic interaction
14222,16793,drug_drug,synergistic interaction
14222,14023,drug_drug,synergistic interaction
14222,15012,drug_drug,synergistic interaction
14222,18959,drug_drug,synergistic interaction
14222,15176,drug_drug,synergistic interaction
14222,15187,drug_drug,synergistic interaction
14222,14235,drug_drug,synergistic interaction
14222,14270,drug_drug,synergistic interaction
14222,15507,drug_drug,synergistic interaction
14222,14058,drug_drug,synergistic interaction
14222,14481,drug_drug,synergistic interaction
14222,14211,drug_drug,synergistic interaction
14222,14483,drug_drug,synergistic interaction
14222,15130,drug_drug,synergistic interaction
14222,14242,drug_drug,synergistic interaction
14222,15987,drug_drug,synergistic interaction
14222,14340,drug_drug,synergistic interaction
14222,15986,drug_drug,synergistic interaction
14222,15167,drug_drug,synergistic interaction
14222,14131,drug_drug,synergistic interaction
14222,15774,drug_drug,synergistic interaction
14222,14158,drug_drug,synergistic interaction
14222,14238,drug_drug,synergistic interaction
14222,14061,drug_drug,synergistic interaction
14222,39203,contraindication,contraindication
14222,33575,indication,indication
14222,28208,indication,indication
14222,13257,drug_protein,target
14222,989,drug_protein,target
14222,14603,drug_drug,synergistic interaction
14222,14966,drug_drug,synergistic interaction
14222,14215,drug_drug,synergistic interaction
14222,14166,drug_drug,synergistic interaction
14222,14993,drug_drug,synergistic interaction
14222,14369,drug_drug,synergistic interaction
14222,14141,drug_drug,synergistic interaction
14222,15769,drug_drug,synergistic interaction
14222,14880,drug_drug,synergistic interaction
14222,14306,drug_drug,synergistic interaction
14222,14813,drug_drug,synergistic interaction
14222,15770,drug_drug,synergistic interaction
14222,14259,drug_drug,synergistic interaction
14222,15501,drug_drug,synergistic interaction
14222,15373,drug_drug,synergistic interaction
14222,14198,drug_drug,synergistic interaction
14222,14784,drug_drug,synergistic interaction
14222,15093,drug_drug,synergistic interaction
14222,15151,drug_drug,synergistic interaction
14222,14237,drug_drug,synergistic interaction
14222,14638,drug_drug,synergistic interaction
14222,14380,drug_drug,synergistic interaction
14222,14387,drug_drug,synergistic interaction
14222,15201,drug_drug,synergistic interaction
14222,15078,drug_drug,synergistic interaction
14222,14272,drug_drug,synergistic interaction
14222,14980,drug_drug,synergistic interaction
38127,27724,disease_disease,parent-child
7110,2930,protein_protein,ppi
7110,4497,protein_protein,ppi
7110,27653,disease_protein,associated with
7110,27812,disease_protein,associated with
7110,27654,disease_protein,associated with
15779,22447,drug_effect,side effect
15779,22831,drug_effect,side effect
15779,26162,drug_effect,side effect
15779,25201,drug_effect,side effect
15779,23864,drug_effect,side effect
15779,22952,drug_effect,side effect
15779,23002,drug_effect,side effect
15779,22859,drug_effect,side effect
15779,24199,drug_effect,side effect
15779,25526,drug_effect,side effect
15779,22953,drug_effect,side effect
15779,23158,drug_effect,side effect
15779,84853,drug_effect,side effect
15779,22380,drug_effect,side effect
15779,23157,drug_effect,side effect
15779,14115,drug_drug,synergistic interaction
15779,20349,drug_drug,synergistic interaction
15779,14276,drug_drug,synergistic interaction
15779,15079,drug_drug,synergistic interaction
15779,14762,drug_drug,synergistic interaction
15779,16788,drug_drug,synergistic interaction
15779,16793,drug_drug,synergistic interaction
15779,14242,drug_drug,synergistic interaction
15779,33575,contraindication,contraindication
15779,29113,contraindication,contraindication
15779,15105,drug_drug,synergistic interaction
15779,15156,drug_drug,synergistic interaction
15779,16795,drug_drug,synergistic interaction
15779,14924,drug_drug,synergistic interaction
15779,14217,drug_drug,synergistic interaction
15779,17148,drug_drug,synergistic interaction
15779,14152,drug_drug,synergistic interaction
15779,15451,drug_drug,synergistic interaction
15779,16690,drug_drug,synergistic interaction
15779,14327,drug_drug,synergistic interaction
15779,17308,drug_drug,synergistic interaction
15779,14944,drug_drug,synergistic interaction
15779,16354,drug_drug,synergistic interaction
15779,15609,drug_drug,synergistic interaction
15779,15836,drug_drug,synergistic interaction
15779,14835,drug_drug,synergistic interaction
15779,14255,drug_drug,synergistic interaction
15779,15466,drug_drug,synergistic interaction
15779,16792,drug_drug,synergistic interaction
15779,14809,drug_drug,synergistic interaction
15779,14317,drug_drug,synergistic interaction
15779,16210,drug_drug,synergistic interaction
15779,14215,drug_drug,synergistic interaction
15779,14605,drug_drug,synergistic interaction
15779,14282,drug_drug,synergistic interaction
15779,14369,drug_drug,synergistic interaction
15779,15769,drug_drug,synergistic interaction
15779,15153,drug_drug,synergistic interaction
